id,Datetime,Text
1598104555937763328,2022-11-30 23:59:52+00:00,@keuangannews_id Jangan kan di jaman Rasulullah di jaman Luth sudah ada LGBT justru di binasakan
1598104315683819521,2022-11-30 23:58:54+00:00,Ayoooo aktivis lgbt mana suaranyaaaaa https://t.co/brnsE0f4m2
1598104257114542080,2022-11-30 23:58:40+00:00,@keuangannews_id Bukan hanya di jaman nabi Muhammad tp jaman nabi Luth jg ada tp di binasakan oleh Allah Swt termasuk istri nabi Lut yg mendukung Lgbt..
1598104083260674048,2022-11-30 23:57:59+00:00,@keuangannews_id Semakin aneh aja LGBT ko dilindungi mestinya dihancurkan seperti dimasa Nabi Lut
1598104016541872128,2022-11-30 23:57:43+00:00,"@keuangannews_id Melindungi keberadaan LGBT sbg manusia  (makhluk sosial) dalam bermasyarakat serta mendapatkan haknya di fasilitas publik itu sangat kami setujui.
Yg selama ini kita larang kan propagandanya. Yg bertujuan semata mencegah agar pelaku LGBT tak bertambah."
1598103781001920512,2022-11-30 23:56:47+00:00,Sejoli Oknum TNI LGBT di Jatim Dipenjara 7 Bulan dan Dipecat https://t.co/BhOTcq20uY
1598103616157413376,2022-11-30 23:56:08+00:00,"@anticytro_jkom @haneprani LGBT ada lah kumpulan yg mengizinkan lelaki berkhawin dgn lelaki. Ia ada lah dugaan kpd kaum lelaki dan sejauh mna pegangan agama nya. Semua agama di dunia ini melarang khawin sesama lelaki.
Ketua agama islam adalah raja2 melayu dan sudah pasti raja2 melayu tidak mengizinkan nya."
1598103282961903616,2022-11-30 23:54:48+00:00,@Naija_PR LGBTQ 2 women -He
1598103129543045120,2022-11-30 23:54:12+00:00,@kissurd anjay ada roti gulung lgbt
1598103125717843970,2022-11-30 23:54:11+00:00,"@keuangannews_id Bukti nyata kemurkaan Allah sudah mencontohkan kepada kaum durhaka umat nabi Luth .as...yg ditebalikqn negrinya...apakah itu bukan suatu pelajaran bagi umat Islam atas kejinya perbuatan yg dilarang Allah SWT,(LGBT)sudah tepat jika Allah memberikan berbagai macam bencana di RI"
1598103067719004162,2022-11-30 23:53:57+00:00,"@republikaonline Tdk bicara mslh ham2an tp secara demografi akan terjadi ketidakseimbangan yg lahir dan mati, akan hilang dg sendirinya bangsa tsb. Skrg sdg trend no child, dan lgbt di suatu bangsa dan jelas bangsa tsb menuju habis penddknya."
1598103014883356672,2022-11-30 23:53:44+00:00,@mahasiswigenz kami menolak penyuka BOKEP dan pendukung LGBT
1598102775615066113,2022-11-30 23:52:47+00:00,"@keuangannews_id Ya memang di jaman Rasulullah LGBT sudah ada, tp disembuhkan, kalau nggak mau ya dihukum bukannya dilindungi....."
1598102725555650560,2022-11-30 23:52:35+00:00,"@keuangannews_id Yg wajib dilindungi itu bukan LGBT nya, t"
1598102678584037376,2022-11-30 23:52:24+00:00,"@mas_aro @ShivaDanar90 @ric_ricaa @txtdrberseragam Lalu lembaga mana yg gak bersih dari kekerasan, bullying &amp; LGBT?"
1598102513206845440,2022-11-30 23:51:45+00:00,@Antwonkkyvu lgbt
1598102429790507008,2022-11-30 23:51:25+00:00,Bahaya ini virus lgbt..menyebar sangat pesat..pemerintah harus cepat bertindak.. https://t.co/ykvxNcUub1
1598102308255997952,2022-11-30 23:50:56+00:00,@keuangannews_id Di Madinah ada orang suaranya di bikin2 ke perempuan alias bencong..  langsung di usir dari kota Madinah.. ini lg lgbt
1598102227612467200,2022-11-30 23:50:37+00:00,"@triono_aji @UjangSeven @Parrewa4 @keuangannews_id Non muslim di kitab2 nya jg ada kejadian musibah/azab disebabkan perbuatan maksiat dan LGBT pak, orang ini palingan homo atheis"
1598102176970465282,2022-11-30 23:50:24+00:00,"@sslyn12 @roseannebae14 @changminhusband @tanyarlfes if god said it's haram, your opinion doesn't matter. jangan jadi kaum open minded yg jatohnya malah close minded. kita banyak dosa, setidaknya jangan makin nambah dosa dgn jadi lgbtq"
